network,input,output,predicted,matching,RMS
main.net,"[1, 1, 0, 1]",0,0.11,0,0.11
main.net,"[1, 0, 1, 0]",1,1.0,1,0.0
main.net,"[0, 0, 0, 0]",1,0.45,0,0.55
main.net,"[1, 1, 1, 1]",1,0.55,0,0.45
main.net,"[1, 0, 1, 0]",1,1.0,1,0.0
main.net,"[1, 1, 0, 0]",0,0.62,0,0.62
main.net,"[0, 1, 0, 1]",0,0.0,1,0.0
main.net,"[1, 0, 1, 0]",1,1.0,1,0.0
main.net,"[0, 0, 0, 0]",1,0.45,0,0.55
main.net,"[0, 0, 0, 0]",0,0.45,0,0.45
mainarbitraryRoundedBN0.05.net,"[1, 1, 0, 1]",0,0.15,0,0.15
mainarbitraryRoundedBN0.05.net,"[1, 0, 1, 0]",1,1.0,1,0.0
mainarbitraryRoundedBN0.05.net,"[0, 0, 0, 0]",1,0.46,0,0.54
mainarbitraryRoundedBN0.05.net,"[1, 1, 1, 1]",1,0.67,0,0.33
mainarbitraryRoundedBN0.05.net,"[1, 0, 1, 0]",1,1.0,1,0.0
mainarbitraryRoundedBN0.05.net,"[1, 1, 0, 0]",0,0.69,0,0.69
mainarbitraryRoundedBN0.05.net,"[0, 1, 0, 1]",0,0.0,1,0.0
mainarbitraryRoundedBN0.05.net,"[1, 0, 1, 0]",1,1.0,1,0.0
mainarbitraryRoundedBN0.05.net,"[0, 0, 0, 0]",1,0.46,0,0.54
mainarbitraryRoundedBN0.05.net,"[0, 0, 0, 0]",0,0.46,0,0.46
mainarbitraryRoundedBN0.1.net,"[1, 1, 0, 1]",0,0.08,0,0.08
mainarbitraryRoundedBN0.1.net,"[1, 0, 1, 0]",1,1.0,1,0.0
mainarbitraryRoundedBN0.1.net,"[0, 0, 0, 0]",1,0.53,0,0.47
mainarbitraryRoundedBN0.1.net,"[1, 1, 1, 1]",1,0.46,0,0.54
mainarbitraryRoundedBN0.1.net,"[1, 0, 1, 0]",1,1.0,1,0.0
mainarbitraryRoundedBN0.1.net,"[1, 1, 0, 0]",0,0.66,0,0.66
mainarbitraryRoundedBN0.1.net,"[0, 1, 0, 1]",0,0.0,1,0.0
mainarbitraryRoundedBN0.1.net,"[1, 0, 1, 0]",1,1.0,1,0.0
mainarbitraryRoundedBN0.1.net,"[0, 0, 0, 0]",1,0.53,0,0.47
mainarbitraryRoundedBN0.1.net,"[0, 0, 0, 0]",0,0.53,0,0.53
mainarbitraryRoundedBN0.125.net,"[1, 1, 0, 1]",0,0.08,0,0.08
mainarbitraryRoundedBN0.125.net,"[1, 0, 1, 0]",1,1.0,1,0.0
mainarbitraryRoundedBN0.125.net,"[0, 0, 0, 0]",1,0.66,0,0.34
mainarbitraryRoundedBN0.125.net,"[1, 1, 1, 1]",1,0.45,0,0.55
mainarbitraryRoundedBN0.125.net,"[1, 0, 1, 0]",1,1.0,1,0.0
mainarbitraryRoundedBN0.125.net,"[1, 1, 0, 0]",0,0.66,0,0.66
