agent_steals,E_0_says_stolen,E_1_says_stolen,E_2_says_stolen,E_3_says_stolen,E_4_says_stolen,E_5_says_stolen,E_6_says_stolen,E_7_says_stolen,E_8_says_stolen
0,1,0,1,1,1,0,1,0,1
1,0,0,0,1,0,0,0,0,0
0,1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,1,0,1,0
0,1,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,1,0,1
1,0,1,1,1,0,1,0,1,0
0,1,0,0,0,1,1,1,0,1
0,1,1,1,0,1,0,1,1,1
0,1,0,0,0,1,1,1,0,1
1,0,1,0,0,1,1,0,0,0
1,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1
0,1,1,1,0,1,1,1,1,1
1,0,1,0,1,0,0,0,0,1
0,0,1,1,1,1,1,1,0,1
0,0,1,1,0,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1
1,1,1,0,0,0,1,1,0,0
1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0
1,1,0,0,1,0,1,0,0,0
0,1,0,0,1,0,1,1,0,1
0,1,0,1,1,1,1,1,0,0
1,1,1,0,0,0,0,1,0,0
0,1,1,1,0,1,0,1,1,0
1,0,1,0,0,0,1,0,1,0
0,1,1,1,0,1,1,1,0,1
0,1,0,1,1,1,0,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,0,0,1,0
1,0,1,1,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,0
0,1,0,1,1,1,0,1,1,1
1,1,0,0,1,1,1,0,0,1
1,0,0,0,1,1,0,0,1,0
0,1,0,1,1,1,0,1,1,0
1,0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,0,1,0
1,0,1,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1,0
1,1,1,0,1,0,0,0,1,0
0,1,0,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,1
1,0,1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1
1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,1,1,1
0,1,1,1,1,1,0,1,0,1
0,1,0,1,0,0,1,1,1,0
1,0,1,0,1,1,0,0,0,0
0,0,1,1,0,1,0,1,1,1
1,0,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0
1,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0
0,1,1,0,0,1,1,1,1,1
1,1,1,1,1,0,1,0,1,0
0,0,0,1,1,1,1,1,1,0
0,1,1,1,0,1,1,1,0,1
1,0,0,1,0,0,1,1,0,0
