network,input,output,predicted,matching,RMS
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],1,0.4,0,0.6
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
main.net,[],0,0.4,0,0.4
