distortion,param,strong,noise,evidenceCUMUL,hypNode,Probability,K2Probability
K2,0,weak,0,no_evidence0,compromise_house,H0,H0
K2,0,weak,0,no_evidence0,successful_stolen,H0,H0
K2,0,weak,0,no_evidence0,target_object,H0,H0
K2,0,weak,0,no_evidence0,lost_object,H0,H0
K2,0,weak,0,no_evidence0,motive,H0,H0
K2,0,weak,0,no_evidence0,raining,H0,H0
K2,0,weak,0,no_evidence0,know_object,H1,H1
K2,0,weak,0,no_evidence0,curtains,H0,H0
K2,0,weak,0,no_evidence0,flees_startled,H0,H0
K2,0,weak,0,E_object_is_gone1,lost_object,H1,H1
K2,0,weak,0,E_object_is_gone1,know_object,H0,H0
K2,0,weak,0,E_object_is_gone1,target_object,H0,H0
K2,0,weak,0,E_object_is_gone1,motive,H0,H0
K2,0,weak,0,E_object_is_gone1,compromise_house,H0,H0
K2,0,weak,0,E_object_is_gone1,flees_startled,H0,H0
K2,0,weak,0,E_object_is_gone1,successful_stolen,H0,H0
K2,0,weak,0,E_object_is_gone1,raining,H0,H0
K2,0,weak,0,E_object_is_gone1,curtains,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,lost_object,H1,H1
K2,0,weak,0,E_s_spotted_by_house1,know_object,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,target_object,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,motive,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,compromise_house,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,flees_startled,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,successful_stolen,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,raining,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,curtains,H0,H0
K2,0,weak,0,E_private0,lost_object,H1,H1
K2,0,weak,0,E_private0,know_object,H0,H0
K2,0,weak,0,E_private0,target_object,H0,H0
K2,0,weak,0,E_private0,motive,H0,H0
K2,0,weak,0,E_private0,compromise_house,H0,H0
K2,0,weak,0,E_private0,flees_startled,H0,H0
K2,0,weak,0,E_private0,successful_stolen,H0,H0
K2,0,weak,0,E_private0,raining,H0,H0
K2,0,weak,0,E_private0,curtains,H0,H0
K2,0,weak,0,E_s_spotted_with_goodie1,lost_object,H0,H0
K2,0,weak,0,E_s_spotted_with_goodie1,know_object,H1,H1
K2,0,weak,0,E_s_spotted_with_goodie1,target_object,H1,H1
K2,0,weak,0,E_s_spotted_with_goodie1,motive,H1,H1
K2,0,weak,0,E_s_spotted_with_goodie1,compromise_house,H1,H1
K2,0,weak,0,E_s_spotted_with_goodie1,flees_startled,H0,H0
K2,0,weak,0,E_s_spotted_with_goodie1,successful_stolen,H1,H1
K2,0,weak,0,E_s_spotted_with_goodie1,raining,H0,H0
K2,0,weak,0,E_s_spotted_with_goodie1,curtains,H0,H0
K2,0,weak,0,E_broken_lock1,lost_object,H0,H0
K2,0,weak,0,E_broken_lock1,know_object,H1,H1
K2,0,weak,0,E_broken_lock1,target_object,H1,H1
K2,0,weak,0,E_broken_lock1,motive,H1,H1
K2,0,weak,0,E_broken_lock1,compromise_house,H1,H1
K2,0,weak,0,E_broken_lock1,flees_startled,H0,H0
K2,0,weak,0,E_broken_lock1,successful_stolen,H1,H1
K2,0,weak,0,E_broken_lock1,raining,H0,H0
K2,0,weak,0,E_broken_lock1,curtains,H0,H0
K2,0,weak,0,E_disturbed_house1,lost_object,H0,H0
