distortion,param,strong,noise,evidenceCUMUL,hypNode,Probability,K2Probability,accuracy,rms,Game
K2,0,weak,0,no_evidence0,agent_steals,H1,H1,0.4,0.273,basicGame
K2,0,weak,0,E_0_says_stolen1,agent_steals,H0,H0,0.4,0.273,basicGame
K2,0,weak,0,E_1_says_stolen1,agent_steals,H1,H1,0.4,0.273,basicGame
K2,0,weak,0,E_2_says_stolen1,agent_steals,H1,H1,0.4,0.273,basicGame
K2,0,weak,0,E_3_says_stolen1,agent_steals,H1,H1,0.4,0.273,basicGame
K2,0,strong,0,no_evidence0,agent_steals,0.58,0.58,0.4,0.273,basicGame
K2,0,strong,0,E_0_says_stolen1,agent_steals,0.21,0.21,0.4,0.273,basicGame
K2,0,strong,0,E_1_says_stolen1,agent_steals,0.64,0.64,0.4,0.273,basicGame
K2,0,strong,0,E_2_says_stolen1,agent_steals,0.86,0.86,0.4,0.273,basicGame
K2,0,strong,0,E_3_says_stolen1,agent_steals,0.55,0.55,0.4,0.273,basicGame
arbitraryRounded,0.05,weak,0,no_evidence0,agent_steals,H1,0.58,0.4,0.271,basicGame
arbitraryRounded,0.05,weak,0,E_0_says_stolen1,agent_steals,H0,0.21,0.4,0.271,basicGame
arbitraryRounded,0.05,weak,0,E_1_says_stolen1,agent_steals,H1,0.64,0.4,0.271,basicGame
arbitraryRounded,0.05,weak,0,E_2_says_stolen1,agent_steals,H1,0.86,0.4,0.271,basicGame
arbitraryRounded,0.05,weak,0,E_3_says_stolen1,agent_steals,H1,0.55,0.4,0.271,basicGame
arbitraryRounded,0.05,strong,0,no_evidence0,agent_steals,0.6,0.58,0.4,0.271,basicGame
arbitraryRounded,0.05,strong,0,E_0_says_stolen1,agent_steals,0.24,0.21,0.4,0.271,basicGame
arbitraryRounded,0.05,strong,0,E_1_says_stolen1,agent_steals,0.72,0.64,0.4,0.271,basicGame
arbitraryRounded,0.05,strong,0,E_2_says_stolen1,agent_steals,0.91,0.86,0.4,0.271,basicGame
arbitraryRounded,0.05,strong,0,E_3_says_stolen1,agent_steals,0.67,0.55,0.4,0.271,basicGame
arbitraryRounded,0.1,weak,0,no_evidence0,agent_steals,H1,0.58,0.4,0.275,basicGame
arbitraryRounded,0.1,weak,0,E_0_says_stolen1,agent_steals,H0,0.21,0.4,0.275,basicGame
arbitraryRounded,0.1,weak,0,E_1_says_stolen1,agent_steals,H1,0.64,0.4,0.275,basicGame
