Network,Evidence,s1,s2,s3,n,incompatible
GG,"(0, 0, 0, 0)",0.0,0.0,0.9999999999999999,0,0
GG,"(0, 0, 0, 1)",0.011919143507320174,0.9875333499354818,0.0005475065571979397,0,0
GG,"(0, 0, 1, 0)",0,0,0,0,1
GG,"(0, 0, 1, 1)",0.9919517095682308,0.0,0.008048290431769327,0,0
GG,"(0, 1, 0, 0)",0.0,0.0,0.9999999999999999,0,0
GG,"(0, 1, 0, 1)",0.011919143507320174,0.9875333499354818,0.0005475065571979397,0,0
GG,"(0, 1, 1, 0)",0,0,0,0,1
GG,"(0, 1, 1, 1)",0.9919517095682308,0.0,0.008048290431769327,0,0
GG,"(1, 0, 0, 0)",0.0,0.0,1.0,0,0
GG,"(1, 0, 0, 1)",0.9560823032358771,0.0,0.04391769676412291,0,0
GG,"(1, 0, 1, 0)",0,0,0,0,1
GG,"(1, 0, 1, 1)",0.9919517095682306,0.0,0.008048290431769325,0,0
GG,"(1, 1, 0, 0)",0.0,0.0,1.0,0,0
GG,"(1, 1, 0, 1)",0.9560823032358771,0.0,0.04391769676412291,0,0
GG,"(1, 1, 1, 0)",0,0,0,0,1
GG,"(1, 1, 1, 1)",0.9919517095682306,0.0,0.008048290431769325,0,0
GD,"(0, 0, 0, 0)",0.0,0.0,1.0,0,0
GD,"(0, 0, 0, 1)",0.00039188440796318093,0.9996031474637194,4.968128317579484e-06,0,0
GD,"(0, 0, 1, 0)",0,0,0,0,1
GD,"(0, 0, 1, 1)",0.9900000003166497,0.0,0.009999999683350325,0,0
GD,"(0, 1, 0, 0)",0.0,0.0,1.0,0,0
GD,"(0, 1, 0, 1)",0.00039188440796318093,0.9996031474637194,4.968128317579484e-06,0,0
GD,"(0, 1, 1, 0)",0,0,0,0,1
GD,"(0, 1, 1, 1)",0.9900000003166497,0.0,0.009999999683350325,0,0
GD,"(1, 0, 0, 0)",0.0,0.0,0.9999999999999999,0,0
GD,"(1, 0, 0, 1)",0.9874811728201616,0.0,0.012518827179838647,0,0
GD,"(1, 0, 1, 0)",0,0,0,0,1
GD,"(1, 0, 1, 1)",0.9900000003166497,0.0,0.00999999968335033,0,0
GD,"(1, 1, 0, 0)",0.0,0.0,0.9999999999999999,0,0
GD,"(1, 1, 0, 1)",0.9874811728201616,0.0,0.012518827179838647,0,0
GD,"(1, 1, 1, 0)",0,0,0,0,1
GD,"(1, 1, 1, 1)",0.9900000003166497,0.0,0.00999999968335033,0,0
