distortion,param,strong,noise,evidenceCUMUL,hypNode,Probability,K2Probability
K2,0,weak,0,no_evidence0,lost_object,H0,H0
K2,0,weak,0,no_evidence0,successful_stolen,H0,H0
K2,0,weak,0,E_object_is_gone1,lost_object,H1,H1
K2,0,weak,0,E_object_is_gone1,successful_stolen,H0,H0
K2,0,weak,0,E_broken_lock1,lost_object,H0,H0
K2,0,weak,0,E_broken_lock1,successful_stolen,H1,H1
K2,0,weak,0,E_disturbed_house1,lost_object,H0,H0
K2,0,weak,0,E_disturbed_house1,successful_stolen,H1,H1
K2,0,weak,0,E_s_spotted_by_house1,lost_object,H0,H0
K2,0,weak,0,E_s_spotted_by_house1,successful_stolen,H1,H1
K2,0,weak,0,E_s_spotted_with_goodie1,lost_object,H0,H0
K2,0,weak,0,E_s_spotted_with_goodie1,successful_stolen,H1,H1
K2,0,weak,0,E_private0,lost_object,H0,H0
K2,0,weak,0,E_private0,successful_stolen,H1,H1
K2,0,strong,0,no_evidence0,lost_object,0.2,0.2
K2,0,strong,0,no_evidence0,successful_stolen,0.06,0.06
K2,0,strong,0,E_object_is_gone1,lost_object,0.69,0.69
K2,0,strong,0,E_object_is_gone1,successful_stolen,0.2,0.2
K2,0,strong,0,E_broken_lock1,lost_object,0.0,0.0
K2,0,strong,0,E_broken_lock1,successful_stolen,0.65,0.65
K2,0,strong,0,E_disturbed_house1,lost_object,0.0,0.0
K2,0,strong,0,E_disturbed_house1,successful_stolen,0.65,0.65
K2,0,strong,0,E_s_spotted_by_house1,lost_object,0.0,0.0
K2,0,strong,0,E_s_spotted_by_house1,successful_stolen,0.65,0.65
K2,0,strong,0,E_s_spotted_with_goodie1,lost_object,0.0,0.0
K2,0,strong,0,E_s_spotted_with_goodie1,successful_stolen,0.65,0.65
K2,0,strong,0,E_private0,lost_object,0.0,0.0
K2,0,strong,0,E_private0,successful_stolen,1.0,1.0
arbitraryRounded,0.05,weak,0,no_evidence0,lost_object,H0,0.2
arbitraryRounded,0.05,weak,0,no_evidence0,successful_stolen,H0,0.06
arbitraryRounded,0.05,weak,0,E_object_is_gone1,lost_object,H1,0.69
arbitraryRounded,0.05,weak,0,E_object_is_gone1,successful_stolen,H0,0.2
arbitraryRounded,0.05,weak,0,E_broken_lock1,lost_object,H0,0.0
arbitraryRounded,0.05,weak,0,E_broken_lock1,successful_stolen,H1,0.65
arbitraryRounded,0.05,weak,0,E_disturbed_house1,lost_object,H0,0.0
arbitraryRounded,0.05,weak,0,E_disturbed_house1,successful_stolen,H1,0.65
arbitraryRounded,0.05,weak,0,E_s_spotted_by_house1,lost_object,H0,0.0
arbitraryRounded,0.05,weak,0,E_s_spotted_by_house1,successful_stolen,H1,0.65
arbitraryRounded,0.05,weak,0,E_s_spotted_with_goodie1,lost_object,H0,0.0
arbitraryRounded,0.05,weak,0,E_s_spotted_with_goodie1,successful_stolen,H1,0.65
arbitraryRounded,0.05,weak,0,E_private0,lost_object,H0,0.0
arbitraryRounded,0.05,weak,0,E_private0,successful_stolen,H1,1.0
arbitraryRounded,0.05,strong,0,no_evidence0,lost_object,0.2,0.2
arbitraryRounded,0.05,strong,0,no_evidence0,successful_stolen,0.04,0.06
arbitraryRounded,0.05,strong,0,E_object_is_gone1,lost_object,0.72,0.69
arbitraryRounded,0.05,strong,0,E_object_is_gone1,successful_stolen,0.14,0.2
arbitraryRounded,0.05,strong,0,E_broken_lock1,lost_object,0.0,0.0
arbitraryRounded,0.05,strong,0,E_broken_lock1,successful_stolen,0.51,0.65
arbitraryRounded,0.05,strong,0,E_disturbed_house1,lost_object,0.0,0.0
arbitraryRounded,0.05,strong,0,E_disturbed_house1,successful_stolen,0.51,0.65
arbitraryRounded,0.05,strong,0,E_s_spotted_by_house1,lost_object,0.0,0.0
arbitraryRounded,0.05,strong,0,E_s_spotted_by_house1,successful_stolen,0.51,0.65
arbitraryRounded,0.05,strong,0,E_s_spotted_with_goodie1,lost_object,0.0,0.0
arbitraryRounded,0.05,strong,0,E_s_spotted_with_goodie1,successful_stolen,0.51,0.65
arbitraryRounded,0.05,strong,0,E_private0,lost_object,0.0,0.0
arbitraryRounded,0.05,strong,0,E_private0,successful_stolen,1.0,1.0
arbitraryRounded,0.1,weak,0,no_evidence0,lost_object,H0,0.2
arbitraryRounded,0.1,weak,0,no_evidence0,successful_stolen,H0,0.06
arbitraryRounded,0.1,weak,0,E_object_is_gone1,lost_object,H1,0.69
arbitraryRounded,0.1,weak,0,E_object_is_gone1,successful_stolen,H0,0.2
arbitraryRounded,0.1,weak,0,E_broken_lock1,lost_object,H0,0.0
arbitraryRounded,0.1,weak,0,E_broken_lock1,successful_stolen,H1,0.65
arbitraryRounded,0.1,weak,0,E_disturbed_house1,lost_object,H0,0.0
arbitraryRounded,0.1,weak,0,E_disturbed_house1,successful_stolen,H1,0.65
arbitraryRounded,0.1,weak,0,E_s_spotted_by_house1,lost_object,H0,0.0
arbitraryRounded,0.1,weak,0,E_s_spotted_by_house1,successful_stolen,H1,0.65
arbitraryRounded,0.1,weak,0,E_s_spotted_with_goodie1,lost_object,H0,0.0
arbitraryRounded,0.1,weak,0,E_s_spotted_with_goodie1,successful_stolen,H1,0.65
arbitraryRounded,0.1,weak,0,E_private0,lost_object,H0,0.0
arbitraryRounded,0.1,weak,0,E_private0,successful_stolen,H1,1.0
arbitraryRounded,0.1,strong,0,no_evidence0,lost_object,0.2,0.2
arbitraryRounded,0.1,strong,0,no_evidence0,successful_stolen,0.08,0.06
arbitraryRounded,0.1,strong,0,E_object_is_gone1,lost_object,0.71,0.69
arbitraryRounded,0.1,strong,0,E_object_is_gone1,successful_stolen,0.29,0.2
arbitraryRounded,0.1,strong,0,E_broken_lock1,lost_object,0.0,0.0
arbitraryRounded,0.1,strong,0,E_broken_lock1,successful_stolen,1.0,0.65
arbitraryRounded,0.1,strong,0,E_disturbed_house1,lost_object,0.0,0.0
arbitraryRounded,0.1,strong,0,E_disturbed_house1,successful_stolen,1.0,0.65
arbitraryRounded,0.1,strong,0,E_s_spotted_by_house1,lost_object,0.0,0.0
arbitraryRounded,0.1,strong,0,E_s_spotted_by_house1,successful_stolen,1.0,0.65
arbitraryRounded,0.1,strong,0,E_s_spotted_with_goodie1,lost_object,0.0,0.0
arbitraryRounded,0.1,strong,0,E_s_spotted_with_goodie1,successful_stolen,1.0,0.65
arbitraryRounded,0.1,strong,0,E_private0,lost_object,0.0,0.0
arbitraryRounded,0.1,strong,0,E_private0,successful_stolen,1.0,1.0
arbitraryRounded,0.125,weak,0,no_evidence0,lost_object,H0,0.2
arbitraryRounded,0.125,weak,0,no_evidence0,successful_stolen,H0,0.06
arbitraryRounded,0.125,weak,0,E_object_is_gone1,lost_object,H1,0.69
arbitraryRounded,0.125,weak,0,E_object_is_gone1,successful_stolen,H0,0.2
arbitraryRounded,0.125,weak,0,E_broken_lock1,lost_object,H0,0.0
arbitraryRounded,0.125,weak,0,E_broken_lock1,successful_stolen,H1,0.65
arbitraryRounded,0.125,weak,0,E_disturbed_house1,lost_object,H0,0.0
arbitraryRounded,0.125,weak,0,E_disturbed_house1,successful_stolen,H1,0.65
arbitraryRounded,0.125,weak,0,E_s_spotted_by_house1,lost_object,H0,0.0
arbitraryRounded,0.125,weak,0,E_s_spotted_by_house1,successful_stolen,H1,0.65
arbitraryRounded,0.125,weak,0,E_s_spotted_with_goodie1,lost_object,H0,0.0
