names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 1, 1, 1, 1, 1)",0.9961876884029914,1,0.0038123115970085664
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 1, 1, 1, 0, 0)",4.995831616750487e-07,1,4.995831616750487e-07
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 1, 1, 0, 0, 0)",4.995831616750487e-07,1,4.995831616750487e-07
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 1, 0, 0, 0, 0)",4.995831616750487e-07,1,4.995831616750487e-07
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 0, 0, 0, 0, 0)",4.995831616750487e-07,1,4.995831616750487e-07
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 0, 0, 0, 0, 0, 0)",4.995831616750487e-07,1,4.995831616750487e-07
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 0, 0, 0, 0, 0, 0, 0)",4.995831616750487e-07,1,4.995831616750487e-07
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(0, 1, 0, 0, 0, 0, 0, 0)",4.995831616750487e-07,1,4.995831616750487e-07
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(0, 0, 0, 0, 0, 0, 0, 0)",4.995831616750487e-07,1,4.995831616750487e-07
names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 1, 1, 1, 1, 1)",0.45209222973355495,0,0.547907770266445
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 1, 1, 1, 0, 0)",0.009965438423378598,1,0.009965438423378598
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 1, 1, 0, 0, 0)",0.009965438423378598,1,0.009965438423378598
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 1, 0, 0, 0, 0)",0.009965438423378601,1,0.009965438423378601
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 1, 0, 0, 0, 0, 0)",0.009965438423378601,1,0.009965438423378601
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 1, 0, 0, 0, 0, 0, 0)",0.009965438423378601,1,0.009965438423378601
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(1, 0, 0, 0, 0, 0, 0, 0)",0.009965438423378601,1,0.009965438423378601
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(0, 1, 0, 0, 0, 0, 0, 0)",0.009965438423378601,1,0.009965438423378601
"['jane_and_mark_fight', 'jane_has_knife', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident', 'mark_dies']","(0, 0, 0, 0, 0, 0, 0, 0)",0.009965438423378598,1,0.009965438423378598
names,state,posterior,accuracy,rmsq
