lost_object,successful_stolen,E_object_is_gone,E_broken_lock,E_disturbed_house,E_s_spotted_by_house,E_s_spotted_with_goodie,E_private
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0
0,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0
0,0,0,0,0,1,0,1
1,0,1,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,0
1,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1
1,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,0
0,0,0,0,0,1,0,0
0,0,1,1,1,1,1,1
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
